vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
1118,7,Dragon's Lair  -  Nest,Enormous eggs sit in a nest of melted gold. The dragon mother is never far.,1114,1121,,1117,1115,1113,1122,1120,,,"Gigantic eggs lie nestled in molten gold, warmth radiates softly.","The thick, damp scent of giant mushrooms drifts down from the north.",Rainbow crystals shimmer faintly in the cave to the northeast.,"A distant, regal stone throne can be glimpsed through the ruins southeast."
1119,7,Dwarven Ruins  -  Gate,Ancient dwarven construction. The stonework is flawless despite its age. Runes glow faintly.,1116,,1120,,1117,,1123,,,,The flawless stonework hums with faint magical runes.,Heat rises from the scorched tunnel to the north.,The forge to the east glows with a steady magical fire.,A forbidding black metal door stands just to the southeast.
1120,7,Dwarven Ruins  -  Forge,A forge that still burns with magical fire. Dwarven tools lie ready. The smiths are long gone.,1117,1123,1121,1119,1118,1116,1124,,,,"Magical flames flicker warmly over cold, unused anvils.",Heavy claw marks scar the walls beyond the seal to the southeast.,Mountains of gold glint just beyond the tunnel entrance to the north.,"Scorch marks blacken the stone to the northwest, heat hums softly."
1121,7,Dwarven Ruins  -  Treasury,The dwarven vault. Most has been looted. But the deepest chamber remains sealed.,1118,1124,1122,1120,,1117,,1123,,,"Dust swirls over looted treasures, the vault’s deepest chamber sealed.","A warm, golden glow gleams from the nest directly above.",Heavy claw marks mar the walls to the south.,Faint rune light glimmers from the forge to the west.
1122,7,Dwarven Ruins  -  Throne Room,"A stone throne sized for a dwarf king. The crown still sits on the seat, waiting.",,,,1121,,1118,,1124,,,"The stone throne sits cold and silent, the crown waiting patiently.",Golden warmth drifts faintly from the nest to the northwest.,Deep claw marks gouge the stone floor beyond the seal to the southwest.,
1123,7,The Sealed Door,A door of black metal covered in warning runes. Every language says the same thing: DO NOT OPEN.,1120,,1124,,1121,1119,,,,,Black metal is etched with runes warning against entry.,Faint forge firelight flickers from the chamber to the north.,"The dwarven vault lies quiet, guarded by ancient magic northeast.",Stonework flawless and ancient frames the gate to the northwest.
1124,7,Beyond the Seal,Whatever was sealed away is gone. Only claw marks on the walls remain. Very large claw marks.,1121,,,1123,1122,1120,,,,,Deep claw marks scar the walls where a terrible presence once dwelled.,"Warmth from the forge flickers faintly to the northwest, a stubborn ember.","A heavy silence presses down, broken only by the faint echo of distant stone.",The glint of a crown catches light from the throne room to the northeast.
1125,7,Ruins of Aldric's Tower,"What was once a proud wizard's tower is now a catastrophe of shattered stone and scattered parchment. A massive hole has been punched clean through the eastern and western walls  -  the trajectory curves impossibly upward between entry and exit. Scorched books, melted instruments, and fragments of glowing wards litter the floor. The wizard Aldric paces among the ruins, alternating between fury and fascination.",,1015,1016,,,,,1015,,,Fragments of parchment swirl softly in the cracked tower's breeze.,The scent of aged wood and moss drifts in from the curved road to the east.,Cobblestones rattle faintly under distant footsteps near the north gate.,"Sunlight filters through shattered walls, casting sharp shadows on broken stone."
2001,5,MegaCorp Tower  -  Lobby,A sterile white lobby with holographic receptionists. Security scanners line the entrance. Everything smells like money.,3,2004,2002,,,,2005,2003,,,The faint chill from below seeps through the polished floor.,Soft holographic glows pulse from receptionists' forms.,Neon signs flicker beyond the southern archway's crackle.,Wind from the glass bridge carries distant city hums.
2002,5,MegaCorp Tower  -  Elevator,A glass elevator shaft. The city sprawls below through the transparent floor. Going down feels like falling.,,2005,,2001,,,2006,2004,,,The city sprawls endlessly beneath the transparent floor.,A drone's soft whir drifts up from the manicured orchids.,The warmth of a polished obsidian desk lingers nearby.,Cold hum of servers echoes faintly from the depths.
2003,5,Skybridge  -  West,A glass-enclosed bridge between towers. The city is a carpet of neon far below. Wind buffets the structure.,,2008,2004,,2001,,2009,2007,,,"Wind buffets the glass, carrying distant neon scents.",The hum of servers hums faintly through the glass walls.,Neon carpets the cityscape far below the bridge.,A cardboard sign flutters gently in a quiet breeze.
2004,5,MegaCorp Tower  -  Server Floor,Rows of humming server racks stretch into darkness. The temperature is freezing. LEDs blink like stars.,2001,2009,2005,2003,2002,,2010,2008,,,LEDs blink like stars in the endless electronic night.,The chill here sharpens the edges of humming machines.,Neon colors bleed softly through the glass bridge walls.,Holographic schedules flicker faintly to the south.
2005,5,MegaCorp Tower  -  Executive Suite,Minimalist luxury. A desk of polished obsidian faces a wall-sized window. The chair is still warm.,2002,2010,2006,2004,,2001,2011,2009,,,The obsidian desk's surface gleams with lingering warmth.,Soft drone whirs blend with the distant hum of servers.,Real orchids scent the air lightly from the garden east.,Monorail holograms flicker faintly beyond the bridge.
2006,5,Rooftop Garden,A manicured garden atop a skyscraper. Real plants  -  a fortune's worth. A drone waters the orchids.,,2011,,2005,,2002,,2010,,,Orchids drip with fresh water from a hovering drone.,A faint hum of cables vibrates from the cluttered den.,The polished obsidian desk gleams through the garden's edge.,Steam rises softly from the nearby robot chef's kitchen.
2007,5,Apartment Block  -  Hallway,A long corridor of identical doors. Flickering fluorescent lights. Someone is arguing behind door 47.,,2013,2008,,2003,,2014,2012,,,"Fluorescent lights flicker over identical, numbered doors.",Fragments of argument echo faintly from door forty-seven.,Neon signs flicker softly beyond the glass-enclosed bridge.,"Wind whistles low, stirring distant cardboard and paper."
2008,5,Skybridge  -  Center,The midpoint of the bridge. A homeless man has set up camp here with a cardboard sign: 'THE END IS LOADING.',2003,2014,2009,2007,2004,,2015,2013,,,A cardboard sign flutters gently in the restless breeze.,Rain mutes the glow of neon signs to the south.,Flickering holograms pulse softly from the monorail station.,Voices from the market blend with distant preacher screams.
2009,5,Transit Hub  -  Upper,A monorail station. Holographic schedules flicker. The next train arrives in 3 minutes. Or never.,2004,2015,2010,2008,2005,2003,2016,2014,,,Holographic schedules flicker with uncertain arrival times.,The cold hum of servers buzzes faintly to the north.,Neon signs bleed through rainy streets to the south.,Wind carries faint echoes from the glass bridge nearby.
2010,5,Noodle Bar  -  47th Floor,A tiny ramen shop crammed between office buildings. The chef is a robot. The noodles are perfect.,2005,2016,2011,2009,2006,2004,2017,2015,,,Steam rises from a bowl of perfect noodles nearby.,Warmth from the obsidian desk lingers to the north.,Neon lights pulse softly through rain-soaked streets south.,The faint buzz of servers chills the air from the northwest.
2011,5,Hacker's Den,A cluttered apartment filled with screens and cables. Energy drink cans form a small fortress.,2006,2017,,2010,,2005,2018,2016,,,"Screens glow softly, casting tangled shadows in the room.",Orchid petals scent the air from the garden above.,Distant neon flickers through rain and cracked windows.,The murmur of scavengers drifts in from ruined streets.
2012,5,Neon Street  -  West End,The street dead-ends at a concrete wall covered in graffiti. A fire escape leads up.,,2019,2013,,2007,,2020,,,,Graffiti sprawls wildly across a concrete wall ahead.,A cat with chrome eyes watches silently from the shadows.,The muffled roar of a fight club pulses down the street.,Dumpster scents mingle with the wet chill of the alley.
2013,5,Neon Street  -  Market,Street vendors sell everything from bootleg chips to synthetic organs. No questions asked.,2007,2020,2014,2012,2008,,2021,2019,,,The roar of the fight club rumbles faintly from the south.,A homeless man’s cardboard sign flaps softly on the skybridge northeast.,The concrete wall west is scrawled with layers of peeling graffiti.,Voices argue behind a flickering door to the north.
2014,5,Neon Street  -  Main,The main drag. Neon signs in every language compete for attention. Rain falls through holographic advertisements.,2008,2021,2015,2013,2009,2007,2022,2020,,,Rain splashes through shifting holographic advertisements overhead.,The crowd’s murmur ebbs and flows like a restless tide.,Neon signs from the market to the west buzz with electric life.,A distant roar from the fight club pulses from the southwest.
2015,5,Neon Street  -  Central,The busiest intersection. Crowds flow around you like water. A street preacher screams about the singularity. One of the public data terminals is cycling through corrupted output  -  streams of numbers that resolve briefly into a perfect sphere before dissolving back into static.,2009,2022,2016,2014,2010,2008,2023,2021,2098,,Corrupted data streams flicker weakly on a nearby terminal.,The preacher’s voice pierces the hum of the busy intersection north.,Neon signs flicker and pulse from the main street to the west.,A faint metallic clang drifts upward from mod shops to the southeast.
2016,5,Neon Street  -  East End,"The street narrows here. Cheaper establishments. A pawn shop, a clinic, a bar with no name.",2010,2023,2017,2015,2011,2009,2024,2022,,,The scent of cheap food and antiseptic lingers from the north.,A low mechanical whirr hums from the cluttered hacker’s den northeast.,Tire tracks mark the cracked pavement near the abandoned warehouse southeast.,The broken red light at the crossroads flickers faintly to the southwest.
2017,5,Neon Street  -  Dead End,"The street ends at a chain-link fence. Beyond it, the ruins of the old city. Something moves in the rubble.",2011,2024,2018,2016,,2010,2025,2023,,,Rubble shifts quietly beyond the chain-link fence to the east.,A soft electronic glow leaks from the hacker’s den to the north.,Tire tracks crunch faintly from the cavernous warehouse to the south.,Shadows dart between the ruins deeper southeast.
2018,5,The Ruins  -  Edge,Collapsed buildings from before the corporate takeover. Scavengers pick through the debris.,,2025,,2017,,2011,,2024,,,Pigeons coo softly from roosts in the warehouse southwest.,The ground trembles faintly from distant movement in the deep ruins south.,The air smells of dust and damp concrete among the collapsed buildings.,Flickering holographic schedules pulse from the nearby hacker’s den northwest.
2019,5,Back Alley  -  West,A narrow alley between buildings. Dumpsters overflow. A cat with chrome eyes watches you.,2012,,2020,,2013,,2026,,,,A cat with gleaming chrome eyes watches silently from the shadows.,"The wall to the north is layered with cracked, colorful graffiti.",The distant roar of a fight echoes east beyond overflowing dumpsters.,Oil and decay mix thickly around rusted metal bins.
2020,5,The Byte Club,A underground fight club. Augmented fighters trade blows in a cage. The crowd roars.,"{'target_vnum': 2099, 'locked': True, 'key_vnum': 9810, 'description': 'A locked door blocks the way.'}",2026,2021,2019,2014,2012,2027,,,,Metallic clangs and grunts echo from the crowded fight cage.,Servers hum hypnotically in the restricted room just beyond the north.,The stench of sweat and machine oil clings to the heavy underground air.,Flickering neon signs pulse softly from the mod shops to the east.
2021,5,Chrome Avenue  -  North,A wider street lined with body modification shops. Neon signs advertise the latest implants.,2014,2027,2022,2020,2015,2013,2028,2026,,,Neon advertisements flicker and pulse along the wide street edges.,The distant roar from the fight club west blends with club bass south.,Rain slicks the pavement with a faint oily sheen from the nearby garage southwest.,The crowd’s chatter flows like a river from the main drag to the north.
2022,5,The Crossroads,A major intersection with a broken traffic light. It always shows red. Nobody stops anyway.,2015,2028,2023,2021,2016,2014,2029,2027,,,"The broken traffic light blinks red endlessly, ignored by all.",Bass thumps distantly from the pleasure district stretching south.,Neon signs flare bright from mod shops bordering the west.,Voices rise and fall as the busy intersection pulses to the north.
2023,5,Chrome Avenue  -  South,"More mod shops, but seedier. Back-alley surgeons. 'Discount Augments  -  Only Slightly Used.'",2016,2029,2024,2022,2017,2015,2030,2028,,,The stench of crude surgeries lingers in the humid air.,Tire tracks and scattered debris mark the path east to the warehouse.,Neon flickers weakly from the broken traffic light at the crossroads west.,A mechanical growl echoes faintly from the junkyard gate southeast.
2024,5,Abandoned Warehouse,A cavernous space. Pigeons roost in the rafters. Tire tracks suggest recent vehicle activity.,2017,2030,2025,2023,2018,2016,,2029,,,Pigeons coo and flutter softly from the rafters above.,The ground vibrates faintly from distant movements in the deep ruins east.,Rust and oil scents mingle with stale warehouse air.,The narrow street east hums with cheap voices and neon glow.
2025,5,The Ruins  -  Deep,Deeper into the collapsed old city. The ground is unstable. Feral dogs hunt in packs here.,2018,,,2024,,2017,,2030,,,The ground shifts beneath scattered rubble and broken concrete.,"Feral dogs howl distantly, their packs weaving through the shadows.","Pigeons flutter overhead, disturbed by distant vehicle echoes.",A mechanical guard dog patrols near the chain-link fence beyond.
2026,5,Parking Garage  -  Level 1,A multi-story garage. Most vehicles are stripped shells. Oil stains mark where others once sat.,2020,2032,2027,,2021,2019,2033,2031,,,Faint bass pulses from nearby holographic dancers shake the walls.,Oil stains darken the cracked concrete where stripped cars once sat.,"Overflowing dumpsters emit a sour, sour rot mingled with metal.",A cat with chrome eyes watches silently from the narrow alley.
2027,5,The Red Light District  -  North,Holographic dancers advertise clubs. The bass from inside shakes your chest. Everything is for sale.,2021,2033,2028,2026,2022,2020,2034,2032,,,"Holographic dancers flicker, casting colored light on cracked glass.",The bass hum vibrates through nearby vehicle shells and oil stains.,The roar of a crowd seeps faintly from the underground fight club.,A narrow alley nearby reeks of refuse and stale shadows.
2028,5,The Red Light District  -  Center,The heart of the pleasure district. Sensory overload. Every vice has a neon sign.,2022,2034,2029,2027,2023,2021,2035,2033,,,Neon signs buzz with relentless promises of pleasure and vice.,"The broken traffic light glows red, stubborn against the night.",Faint mechanical whirs echo from the unlicensed clinic nearby.,Smokestacks belch thick fumes that drift faintly on the breeze.
2029,5,The Red Light District  -  South,The district fades into darker territory. The establishments here don't advertise.,2023,2035,2030,2028,2024,2022,2036,2034,,,Darkened storefronts brood where neon lights dare not reach.,Mountains of discarded tech rise beyond the chain-link fence.,Mechanical footsteps echo from a guard dog patrolling close.,Distant neon flickers and faint traffic light hum reach the air.
2030,5,Junkyard  -  Gate,Mountains of discarded tech behind a chain-link fence. A guard dog  -  mechanical  -  patrols.,2024,2036,,2029,2025,2023,2037,2035,,,Discarded tech stacks scrape the sky behind rusted fences.,Pigeons coo softly from high rafters in a cavernous warehouse.,The faint scent of solder and oil drifts from nearby mod shops.,Distant mechanical growls mark the patrol of a guard dog.
2031,5,Sewer Access  -  West,A maintenance hatch leads down into the city's underbelly. The smell is indescribable.,,,2032,,2026,,2038,,,,A maintenance hatch breathes stale air heavy with rot and rust.,Water drips steadily from cracked pipes in the damp basement.,Smokestacks nearby belch acrid fumes that sting the throat.,The underbelly hums with distant echoes of machinery and decay.
2032,5,Parking Garage  -  Basement,The lowest level. No lights work. Water drips from the ceiling. Perfect for an ambush.,2026,2038,2033,2031,2027,,2039,,,,Darkness swallows all but the steady drip of water overhead.,The faint pulse of bass vibrates from holographic dancers above.,"Toxic fumes drift down from smokestacks, thick and unrelenting.",Grimy windows reveal robotic arms assembling endlessly nearby.
2033,5,Underground Market,"A black market operating in an old subway station. Illegal weapons, drugs, stolen data.",2027,2039,2034,2032,2028,2026,2040,2038,,,The scent of burnt wiring mixes with underground damp and rot.,"Holographic figures flash in the distance, advertising vices.",Distant automated trucks hum as crates shift in loading docks.,Smokestacks belt thick smoke that darkens the stale air.
2034,5,The Undernet Cafe,A dingy cafe where hackers jack into the net. The coffee is terrible. The bandwidth is incredible.,2028,2040,2035,2033,2029,2027,2041,2039,,,The bitter scent of terrible coffee clings to stale recycled air.,Faint neon glows bleed through grimy windows of nearby shops.,Buzzing data streams hum quietly beneath the clatter of keyboards.,A massive fusion reactor hums faintly beyond reinforced walls.
2035,5,Clinic  -  Back Room,An unlicensed medical facility. The doctor has steady hands and no questions. Cash only.,2029,2041,2036,2034,2030,2028,2042,2040,,,The clinical scent of antiseptic clashes with mechanical grime.,Faint heat from a glowing reactor core seeps through cracked walls.,Scrap metal towers loom just beyond nearby chain-link fences.,The distant hum of neon and broken traffic lights filters in.
2036,5,Junkyard  -  Interior,Towers of scrap metal and dead electronics. Useful parts if you know what to look for.,2030,2042,2037,2035,,2029,,2041,,,Towers of rusted scrap and dead electronics scrape the sky.,Heat radiates faintly from the glowing reactor just beyond.,Nest-like tangles of wire and metal hint at something alive.,Neon signs buzz distantly from the fading pleasure district.
2037,5,Junkyard  -  Deep,The back of the junkyard. Something has built a nest here from car parts and wire.,,,,2036,,2030,,2042,,,A nest of twisted metal and wire sits quietly among discarded car parts.,The hum of distant drones drifts up from the power plant to the southwest.,"Through the chain-link fence to the northwest, a mechanical guard dog patrols.","Scrap towers rise to the west, casting long shadows over the junkyard floor."
2038,5,Factory District  -  West,Smokestacks belch toxic fumes. Automated factories run 24/7. No workers needed.,2032,2043,2039,,2033,2031,2044,,,,Toxic fumes curl upward from smokestacks to the west.,Water drips steadily from the dark ceiling of the parking garage above.,The faint buzz of conveyor belts sorting garbage drifts up from the south.,Grimy windows to the east reveal robotic arms assembling machines.
2039,5,Factory District  -  Center,The main factory floor visible through grimy windows. Robots assemble robots. Recursive manufacturing.,2033,2044,2040,2038,2034,2032,2045,2043,,,Robotic limbs move with precise rhythm behind grimy windows to the west.,The low murmur of a black market seeps through from the north.,Broken glass crunches faintly from the abandoned lab to the south.,Conveyor belts hum distantly from the waste processing area to the southwest.
2040,5,Factory District  -  East,Loading docks where autonomous trucks come and go. Crates stamped with corporate logos.,2034,2045,2041,2039,2035,2033,2046,2044,,,Crates stamped with corporate logos are stacked near the loading docks.,The acrid smell of broken glass and stale papers drifts from the lab to the southwest.,A dull mechanical hum rises from the fusion reactor beyond the eastern walls.,The low chatter of hackers filters faintly from the cafe to the north.
2041,5,Power Plant  -  Exterior,A massive fusion reactor hums behind reinforced walls. Warning signs in twelve languages.,2035,2046,2042,2040,2036,2034,2047,2045,,,The fusion reactor hums deeply behind reinforced walls.,Warning signs in many languages warn of unseen dangers here.,The faint buzz of maintenance drones drifts up from the interior to the east.,Dusty neon lights flicker from the dingy cafe to the northwest.
2042,5,Power Plant  -  Interior,The reactor core glows blue-white. The heat is intense. Maintenance drones buzz around it.,2036,2047,,2041,2037,2035,,2046,,,Blue-white light pulses softly from the glowing reactor core.,"Heat radiates strongly, warping the air with a constant shimmer.",The faint rattling of scrap metal drifts from the junkyard to the north.,A quiet murmur comes from the clinic’s back room to the northwest.
2043,5,Waste Processing,Where the city's garbage goes to die. Conveyor belts sort recyclables. The rest gets incinerated.,2038,,2044,,2039,,2048,,,,The sharp tang of burning waste lingers heavily in the air.,Conveyor belts clatter as they sort through the endless refuse.,Broken glass crunches faintly from the abandoned lab to the east.,A cracked highway on-ramp looms silently to the southeast.
2044,5,Abandoned Lab,A corporate research facility. Cleared out in a hurry. Broken glass and scattered papers remain.,2039,2048,2045,2043,2040,2038,2049,,,,Shattered glass glints weakly under flickering overhead lights.,"Scattered papers rustle softly in a stale, empty breeze.",The distant roar of machinery echoes from the factory district to the north.,"The cracked overpass to the southeast carries rusted, abandoned vehicles."
2045,5,Abandoned Lab  -  Deep,The inner labs. Containment pods line the walls. Most are empty. Most.,2040,2049,2046,2044,2041,2039,2050,2048,,,Rows of empty containment pods line the cold lab walls.,"Through grimy windows to the northwest, robotic arms assemble silently.",The massive fusion reactor hums faintly to the northeast.,The city skyline glitters far away beyond the rusted highway overpass.
2046,5,Server Farm  -  Entrance,A nondescript building with massive cooling systems. The digital heart of the grid.,2041,2050,2047,2045,2042,2040,,2049,,,Massive cooling systems hiss and whistle in steady rhythm.,Warning signs from the nearby power plant glow dimly in the distance.,Mechanical drones buzz faintly inside the power plant to the northeast.,The cracked highway overpass to the southwest creaks with the wind.
2047,5,Server Farm  -  Core,The central processing hub. Petabytes of data flow through here every second. The AI lives here.,2042,,,2046,,2041,,2050,,,Endless streams of data pulse silently through glowing circuits.,The intense heat of the reactor core to the north warps the air.,Warning signs flash intermittently from the power plant beyond the northwest.,The makeshift settlement by the highway off-ramp stirs faintly in the breeze.
2048,5,Highway  -  On-Ramp,A crumbling highway on-ramp. The road above is cracked and overgrown. No traffic anymore.,2044,2051,2049,,2045,2043,2052,,,,Cracks in the road are choked with creeping weeds and debris.,Rusting abandoned vehicles loom ahead on the elevated highway to the east.,The distant hum of conveyor belts rises from waste processing to the northwest.,A quiet murmur of children playing drifts up from the shantytown to the southeast.
2049,5,Highway  -  Overpass,The elevated highway. Abandoned vehicles rust in place. The city skyline glitters in the distance.,2045,2052,2050,2048,2046,2044,2053,2051,,,Rust creeps over abandoned vehicles beneath the cracked highway.,The city skyline glints far beyond the empty overpass.,Broken glass and scattered papers whisper from the northwest lab.,Children’s laughter faintly drifts up from the shantytown below.
2050,5,Highway  -  Off-Ramp,The highway descends back to ground level. A makeshift settlement of tarps and shipping containers.,2046,2053,,2049,2047,2045,,2052,,2100,Tarps flap softly around makeshift homes beside the descending highway.,A low hum pulses from the nearby server farm to the north.,Dust stirs where children play in the shantytown to the southwest.,"Data streams flicker faintly beneath, accessed through a hidden port."
2051,5,Shantytown  -  Edge,The corporate city ends here. Beyond is a sprawl of improvised shelters. The forgotten people.,2048,2054,2052,,2049,,2055,,,,The cracked on-ramp looms cold and overgrown just to the north.,Baked sand and scorched earth stretch toward the wasteland to the south.,Improvised shelters rise like skeletons across the forgotten sprawl.,Faint echoes of children’s play drift in from the shantytown eastward.
2052,5,Shantytown  -  Center,"A community built from scraps. Despite everything, children play and food is shared.",2049,2055,2053,2051,2050,2048,,2054,,,Warm scents of shared meals mingle with the sharp tang of rust.,The distant highway hums faintly to the north and northeast.,Cracked concrete rises overgrown to the northwest and west.,Children’s laughter blends softly with the marketplace’s distant calls.
2053,5,Shantytown  -  Market,"A barter economy. People trade skills, food, and salvage. No credits accepted.",2050,,,2052,,2049,,2055,,,Voices barter quietly beneath tarps and shipping containers nearby.,"The highway descends eastward, sheltering the makeshift settlement.",Rust flakes off abandoned cars on the overpass to the northwest.,The scent of cooked food drifts faintly from the shantytown center westward.
2054,5,The Wasteland  -  Edge,"Beyond the shantytown, nothing. Irradiated ground from the old wars. Only the desperate go further.",2051,,2055,,2052,,,,,,A bitter wind carries the scent of scorched earth and dust.,The shantytown’s shelters rise like ghosts just to the north.,A half-buried bunker door yawns open amid the toxic sand eastward.,The horizon blurs into a haze of radiation and forgotten wars.
2055,5,The Wasteland  -  Bunker,"A pre-war bunker, half-buried in toxic sand. The door is ajar. Someone has been here recently.",2052,,,2054,2053,2051,,,,,Cold metal edges peek from sand outside the ajar bunker door.,The distant chatter of children floats up from the shantytown northward.,Shadows from makeshift shelters fall across the cracked wasteland nearby.,The stale air smells faintly of rust and old secrets kept underground.
2097,neon_district,Digital Sanctum,A hidden server room accessible only to those who speak the machine tongue. Holographic data streams cascade from ceiling to floor.,,,,,,,,,,,Holographic streams of data cascade like liquid light in the still air.,"A soft digital hum pulses, echoing faintly from the corridor outside.","The cool air hums with an electric charge, tingling softly on your skin.",
2098,neon_district,The Whispering Terminal,A dead-end corridor with a blank screen. Faint text flickers: 'SPEAK THE LANGUAGE OF MACHINES'. The walls seem to listen. Perhaps the word 'binary' would mean something here.,,2015,,,,,,,,2015,The blank screen flickers faintly with ghostly lines of undeciphered code.,Distant shouts and the roar of a crowd rise faintly from the south.,"The stale air holds a quiet tension, as if the walls are silently waiting.",
2099,neon_district,Restricted Server Room,"Banks of humming servers line the walls, their LEDs blinking in hypnotic patterns. Valuable data cores are scattered on a workbench.",,2020,,,,,,,,,A low roar of the crowd seeps through the floor from the fight club below.,"The servers emit a constant, mechanical hum with blinking lights like stars.","Cool, recycled air carries a faint scent of ozone and heated circuits.",
2100,5,Deep Net  -  Access Point,You jack in. Reality dissolves into data streams. The digital world renders around you in wireframe.,,2102,,,,,2103,2101,2050,,"Data streams shimmer in wireframe, dissolving all sense of solid ground.",Packets of light pulse like fireflies beneath the access point.,"The off-ramp looms above, tethering virtual and physical realms.",Firewall walls rise like digital ramparts in the distance.
2101,5,Data Highway  -  West,A river of pure information flows past. Packets of data zip by like glowing fish.,,2105,2102,,2100,,2106,2104,,,Glowing data fish dart endlessly through the river of pure information.,Corrupted echoes flicker faintly from the abandoned server core southward.,"The firewall patrols silently, like sharks circling just out of reach.",Fragments of broken geometry drift through the derelict virtual lobby nearby.
2102,5,Data Highway  -  Central,The main data artery. Traffic is heavy. Firewalls loom like fortress walls in the distance.,2100,2106,2103,2101,,,2107,2105,,,"Heavy data traffic swells, pulsing under the looming firewalls.",Broken code sparks faintly at the breach to the southeast.,Ghostly flickers of deleted programs haunt the abandoned core southwest.,Rivers of flowing data streak past to the east and west.
2103,5,Data Highway  -  East,The highway branches. One path leads to corporate servers. The other to the dark net.,,2107,,2102,,2100,2108,2106,,,"The firewall breach crackles with fresh, broken code edges to the south.","Clean, sterile virtual halls gleam beyond the corporate server southeast.",Dark nets swirl with chaotic geometry just to the south and southwest.,"The access point pulses faintly to the northwest, a gateway between worlds."
2104,5,Abandoned Server  -  Lobby,A derelict virtual space. Corrupted textures and broken geometry. Someone lived here once.,,2109,2105,,2101,,2110,,,,Corrupted textures warp and flicker in the derelict virtual lobby.,Broken geometry fades into the sprawling dark net market southeast.,Packets of data zip by like glowing fish northeastward down the data river.,A quiet digital loneliness hangs heavy where someone once lived here.
2105,5,Abandoned Server  -  Core,The server's processing core. Data ghosts flicker  -  echoes of deleted programs.,2101,2110,2106,2104,2102,,2111,2109,,,Glowing packets of data flicker like fish in the northern river.,The black market's hum seeps up from the south.,Corrupted textures warp the western lobby's edges.,Sharks of code patrol the eastern firewall's surface.
2106,5,The Firewall  -  Exterior,A massive wall of code blocks the path. ICE programs patrol its surface like sharks.,2102,2111,2107,2105,2103,2101,2112,2110,,,The heavy traffic of the northern highway rumbles faintly.,Digital weapons chatter echoes from the southern market.,Broken code sparks flicker along the breached firewall east.,Silent ghosts of deleted programs drift from the western core.
2107,5,The Firewall  -  Breach,A hole in the firewall. Someone punched through. The edges still spark with broken code.,2103,2112,2108,2106,,2102,2113,2111,,,Sparks crackle softly around the ragged edges to the west.,A perfect geometric shape watches silently to the southeast.,Combat echoes from the arena lie to the southwest.,The highway's heavy stream flows steadily to the north.
2108,5,Corporate Server  -  Outer,"Beyond the firewall. Clean, sterile virtual architecture. Everything is monitored.",,2113,,2107,,2103,,2112,,,Sterile white halls stretch endlessly beyond the firewall west.,Encrypted files hum faintly from the southwest vault.,The AI’s presence pulses quietly from the southern chamber.,Forked data flows pulse softly to the northwest.
2109,5,Dark Net  -  Entry,The other path. No rules here. The geometry is non-Euclidean. Viruses swim freely.,2104,,2110,,2105,,2114,,,,The warped geometry twists unpredictably in all directions.,Viruses swim freely in the corrupted code nearby.,Flickering ghosts leak faintly from the northeast server core.,Dark market scents drift eastward.
2110,5,Dark Net  -  Market,"A black market in cyberspace. Stolen data, illegal programs, digital weapons.",2105,2114,2111,2109,2106,2104,2115,,,,Illicit whispers rise from the eastern arena.,Data ghosts flicker faintly to the north.,Distorted geometry warps the western entry.,The massive firewall wall looms softly to the northeast.
2111,5,Dark Net  -  Arena,A virtual combat arena. Programs fight to the death. Spectators bet in cryptocurrency.,2106,2115,2112,2110,2107,2105,2116,2114,,,The sharp scent of digital blood drifts from the southern archive.,Glowing shards of broken code spark faintly to the northeast breach.,The core’s ghosts flicker dimly to the northwest.,Low chants of betting echo from the western market.
2112,5,Corporate Server  -  Vault,The data vault. Encrypted files worth billions. The security here is lethal.,2107,2116,2113,2111,2108,2106,,2115,,,The vault hums with layers of dense encryption.,Sparks fly faintly from the hole in the firewall north.,The arena’s roars resonate from the west.,Soft surveillance pulses radiate from the northeast outer halls.
2113,5,Corporate Server  -  AI Chamber,The corporate AI's home. It manifests as a perfect geometric shape. It sees you.,2108,,,2112,,2107,,2116,,,Perfect geometry shifts subtly with silent awareness.,Encrypted data pulses steadily from the vault to the west.,Broken code crackles faintly from the breached firewall northwest.,Shadows twist where the ghost hides to the southwest.
2114,5,Virus Nest,A corrupted zone where viruses breed. The code here is infectious. Don't stay long.,2110,2117,2115,,2111,2109,2118,,,,Infectious code swarms and writhes in every direction.,Dark market smells drift faintly from the northern edge.,Fragments of destroyed files drift like snow below.,Combat echoes rumble softly to the northeast arena.
2115,5,The Archive,"A vast library of all human knowledge, digitized. Accessible to those who can find it.",2111,2118,2116,2114,2112,2110,2119,2117,,,Endless streams of digitized knowledge hum quietly.,Viruses writhe in corrupted code to the west.,Encrypted vaults pulse silently to the northeast.,Faint echoes of combat drift down from the northern arena.
2116,5,Ghost in the Machine,"A sentient program that escaped deletion. It hides here, afraid and angry.",2112,2119,,2115,2113,2111,,2118,,,Fear and anger radiate from the restless ghost nearby.,Encrypted vault hums pulse softly from the north.,Sterile architecture stands silent to the northeast.,Dark arena roars ripple faintly from the northwest.
